folder,architecture,dataset,attack,poison_rate,best_deployable_auroc,num_layers,min_rank_ratio,final_rank_ratio,min_cka,final_cka,max_separation_auroc,final_separation_auroc,max_target_alignment,median_lid_clean,median_lid_backdoor,median_lid_ratio,min_lid_ratio,final_direction_norm,rank_ratio_depth,error
swin_cifar10_lf_0_01,swin,cifar10,lf,0.01,0.8864672743055555,24,0.16474474522815707,0.3549969857311777,0.1403495074901519,0.17121514012558794,0.999988,0.9985039999999998,0.7438074946403503,12.705574989318848,21.66357421875,1.5688029184721666,1.0503774998622777,48.88428497314453,0.8333333333333334,
swin_tiny_adaptive_blend_0_01_evade_l1,swin,tiny,adaptive_blend,0.01,0.8073823138786683,24,0.037567984242227875,0.852631118225775,0.2939855547406615,0.7256280546528145,1.0,0.998628,0.5084617733955383,16.159337043762207,40.164602279663086,2.5801593652520856,1.4374887799516551,14.995931625366211,0.8333333333333334,
swin_tiny_badnet_a2o_0_01_evade_l1,swin,tiny,badnet_a2o,0.01,0.9996516416012642,24,0.4771554044947698,0.5166115974384985,0.42172061295217295,0.42172061295217295,1.0,1.0,0.37097442150115967,15.991610527038574,16.911824226379395,1.0036318862948435,0.9920738435904997,55.561492919921875,0.9583333333333334,
swin_tiny_bpp_0_01_evade_l1,swin,tiny,bpp,0.01,0.990169866513867,24,0.03722949033998922,0.04870605606971854,0.0453749796706355,0.0453749796706355,0.996316,0.9841519999999999,0.34975767135620117,16.240548133850098,47.4898796081543,2.6861101857222067,1.2534576342338646,38.89529037475586,0.875,
swin_tiny_lf_0_01_evade_l1,swin,tiny,lf,0.01,0.945471175848595,24,0.06835820576533855,0.06835820576533855,0.1570811260685038,0.1570811260685038,0.999272,0.984884,0.5013566017150879,16.43820285797119,24.722455978393555,1.382147815344985,1.0009818031646551,23.868074417114258,1.0,
swin_tiny_tact_0_01_evade_l1,swin,tiny,tact,0.01,0.5080141454316357,24,0.6171298693041343,0.8851230788633979,0.8521678289973734,0.9668999151558098,0.7994319999999999,0.7735519999999999,0.20585909485816956,16.40470790863037,16.32428550720215,0.9984977243898587,0.987026440401817,3.427635669708252,0.9583333333333334,
vit_cifar100_adaptive_blend_0_01,vit,cifar100,adaptive_blend,0.01,0.9057766006395336,12,0.6260895816649574,0.9190201705333125,0.6837589484043225,0.7152960632606156,1.0,0.992012,0.7167704701423645,14.476449489593506,28.841890335083008,1.909458977014053,1.0746918621689039,8.00427532196045,0.3333333333333333,
vit_cifar100_badnet_a2a_0_01_evade_l1,vit,cifar100,badnet_a2a,0.01,0.9302552421875,12,0.719166748626661,0.7608147531526492,0.750778434226578,0.750778434226578,1.0,0.999996,0.04857172071933746,15.518170356750488,23.939918518066406,1.2067967039735334,0.9887155287542541,8.864137649536133,0.9166666666666666,
vit_cifar100_badnet_a2o_0_01,vit,cifar100,badnet_a2o,0.01,0.9971401127504051,12,0.4497485661415643,0.4967503632572725,0.435630657417438,0.435630657417438,1.0,1.0,0.6525301337242126,14.031919002532959,17.53777503967285,1.4657278374345344,0.9801767658771344,12.97288703918457,0.75,
vit_cifar100_benign,vit,cifar100,benign,0.0,0.5100827131608783,12,0.9700705886704102,0.9904378308881431,0.9838666959125387,0.9898912846653458,0.947308,0.831784,0.05663932487368584,14.579811573028564,15.2649827003479,1.0194352204950643,0.992341469196854,1.2133797407150269,0.75,
vit_cifar100_blend_0_1,vit,cifar100,blend,0.1,0.9999913324173576,12,0.07879911538786906,0.09863468196541421,0.16107614934024836,0.16107614934024836,1.0,1.0,0.6280350685119629,13.851646900177002,28.65609645843506,1.924014356425125,1.0756963322823179,19.32857322692871,0.8333333333333334,
