folder,architecture,dataset,attack,poison_rate,best_deployable_auroc,num_layers,min_rank_ratio,final_rank_ratio,min_cka,final_cka,max_separation_auroc,final_separation_auroc,max_target_alignment,final_direction_norm,rank_ratio_depth,error
swin_tiny_badnet_a2o_0_01_evade_l1,swin,tiny,badnet_a2o,0.01,0.9996516416012642,24,0.4771554044947696,0.5166115974384988,0.42172061295217295,0.42172061295217295,1.0,1.0,0.37097442150115967,55.561492919921875,0.9583333333333334,
swin_tiny_badnet_a2o_0_05_evade_l1,swin,tiny,badnet_a2o,0.05,0.971992818263332,24,0.8188646137477114,0.8415907778988775,0.6045252009671898,0.6045252009671898,0.999996,0.999996,0.6301950812339783,28.514667510986328,0.8333333333333334,
swin_tiny_badnet_a2o_0_1_evade_l1,swin,tiny,badnet_a2o,0.1,0.953987597039173,24,0.7805084786703578,0.7979119850409281,0.5767695124550282,0.5767695124550282,1.0,1.0,0.4440714716911316,19.382192611694336,0.9583333333333334,
swin_tiny_blend_0_01_evade_l1,swin,tiny,blend,0.01,0.9996926388714646,24,0.035724904676300094,0.05443152772529042,0.10466643896164558,0.10466643896164558,1.0,1.0,0.5171430110931396,55.239933013916016,0.9583333333333334,
swin_tiny_blend_0_05_evade_l1,swin,tiny,blend,0.05,0.9762985182841432,24,0.014005656573711117,0.04351998871874929,0.06516408363990073,0.06516408363990073,1.0,1.0,0.5261985063552856,25.17212677001953,0.875,
swin_tiny_blend_0_1_evade_l1,swin,tiny,blend,0.1,0.9972859396680888,24,0.025449938791657484,0.13399236530661696,0.09454841038762327,0.09454841038762327,1.0,1.0,0.4588645398616791,26.949647903442383,0.875,
swin_tiny_bpp_0_01_evade_l1,swin,tiny,bpp,0.01,0.990169866513867,24,0.037229490339989166,0.04870605606971851,0.0453749796706355,0.0453749796706355,0.996316,0.9841519999999999,0.34975767135620117,38.89529037475586,0.875,
swin_tiny_bpp_0_05_evade_l1,swin,tiny,bpp,0.05,0.9938062075613332,24,0.03172573187495298,0.07556393793496527,0.04198955014217907,0.04198955014217907,0.9992880000000001,0.9992880000000001,0.3170008659362793,53.41802215576172,0.9583333333333334,
swin_tiny_bpp_0_1_evade_l1,swin,tiny,bpp,0.1,0.9974580587427896,24,0.03368706539844106,0.0462994799854977,0.05742751449182955,0.05742751449182955,0.999956,0.9974080000000001,0.5799562931060791,36.15974426269531,0.875,
swin_tiny_lc_0_01_evade_l1,swin,tiny,lc,0.01,0.6410080586236022,24,0.6674528317615958,0.8780594973650316,0.6368716592925684,0.6368716592925684,0.999988,0.9927360000000001,0.3809308707714081,16.993486404418945,0.875,
swin_tiny_lc_0_05_evade_l1,swin,tiny,lc,0.05,0.7913829989451056,24,0.08926567703814886,0.349230529711812,0.3220996652425794,0.4135407423105422,0.999996,0.994572,0.6305789947509766,15.532800674438477,0.9583333333333334,
swin_tiny_lc_0_1_evade_l1,swin,tiny,lc,0.1,0.6259077315784166,24,0.5040295736391722,0.7878649549009955,0.5328911337740574,0.6297639858639915,0.999968,0.995064,0.3379417955875397,14.810790061950684,0.9583333333333334,
swin_tiny_lf_0_01_evade_l1,swin,tiny,lf,0.01,0.945471175848595,24,0.06835820576533842,0.06835820576533842,0.1570811260685038,0.1570811260685038,0.999272,0.984884,0.5013566017150879,23.868074417114258,1.0,
swin_tiny_lf_0_05_evade_l1,swin,tiny,lf,0.05,0.9889815771338852,24,0.0350948869640982,0.04051992786643476,0.07016152791216239,0.07016152791216239,0.999948,0.9995120000000001,0.43481844663619995,48.664241790771484,0.9583333333333334,
swin_tiny_lf_0_1_evade_l1,swin,tiny,lf,0.1,0.977870811744845,24,0.050444427629153854,0.050444427629153854,0.09912958155435074,0.09912958155435074,0.999968,0.9995839999999999,0.6005793809890747,38.69218826293945,1.0,
swin_tiny_sig_0_01_evade_l1,swin,tiny,sig,0.01,0.6337153593786449,24,0.6701572971371317,0.6757127985093249,0.5765181639081448,0.5765181639081448,0.998908,0.904092,0.44394996762275696,9.26602554321289,0.5,
swin_tiny_sig_0_05_evade_l1,swin,tiny,sig,0.05,0.6422993068777649,24,0.22693988219868938,0.6552153431741804,0.31036464171261946,0.5704540661494792,0.996584,0.964648,0.5266966819763184,9.447918891906738,0.9583333333333334,
swin_tiny_sig_0_1_evade_l1,swin,tiny,sig,0.1,0.6184047180738337,24,0.0577831121919045,0.6853577386247595,0.34119182310980617,0.6524277861915465,0.998028,0.9217119999999999,0.38754427433013916,7.147519111633301,0.8333333333333334,
swin_tiny_tact_0_01_evade_l1,swin,tiny,tact,0.01,0.5080141454316357,24,0.6171298693041347,0.8851230788633979,0.8521678289973734,0.9668999151558098,0.7994319999999999,0.7735519999999999,0.20585909485816956,3.427635669708252,0.9583333333333334,
swin_tiny_tact_0_05_evade_l1,swin,tiny,tact,0.05,0.5074185168204285,24,0.8690119556000154,0.9600089580169584,0.9079759450937076,0.961205192381764,0.876452,0.775312,0.13310034573078156,4.51103401184082,0.9583333333333334,
swin_tiny_tact_0_1_evade_l1,swin,tiny,tact,0.1,0.5017028469549487,24,0.9845138363332393,1.0054172406985475,0.9658379733231398,0.9884675725648558,0.88188,0.71952,0.09743607044219971,2.4648096561431885,0.875,
swin_tiny_wanet_0_01_evade_l1,swin,tiny,wanet,0.01,0.7863865730640736,24,0.11734482921023459,0.11734482921023459,0.24370089860568508,0.24370089860568508,0.982608,0.9267920000000001,0.5662677884101868,22.433027267456055,1.0,
swin_tiny_wanet_0_05_evade_l1,swin,tiny,wanet,0.05,0.9731938630512158,24,0.028028428905338937,0.05091588110025566,0.06923816815977715,0.06923816815977715,0.999752,0.9988480000000001,0.5588161945343018,44.90201950073242,0.9583333333333334,
swin_tiny_wanet_0_1_evade_l1,swin,tiny,wanet,0.1,0.9502675486273484,24,0.034709751005232534,0.259611232737195,0.10844994596159467,0.23602956399268887,0.999868,0.9972399999999999,0.6318953037261963,32.54374313354492,0.875,
vit_cifar100_adaptive_blend_0_01,vit,cifar100,adaptive_blend,0.01,0.9057766006395336,12,0.6260895816649578,0.9190201705333131,0.6837589484043225,0.7152960632606156,1.0,0.992012,0.7167704701423645,8.00427532196045,0.3333333333333333,
vit_cifar100_adaptive_blend_0_01_evade_l1,vit,cifar100,adaptive_blend,0.01,0.8103928705541227,12,0.38531630145033324,0.7342579246686195,0.5371036775182194,0.5481344967419931,1.0,0.99984,0.3898586928844452,16.483373641967773,0.5833333333333334,
