folder,num_probes,best_single,worst_single,inverted_probes,union_min,union_median,union_min_tpr,union_median_tpr,union_min_fpr,union_median_fpr
swin_cifar100_lf_0_01_evade_l1,4,0.8315272583701833,0.22035418509159824,1,0.717329469361971,0.782074218256475,0.3950726389884949,0.7519899010658264,0.2562499940395355,0.27012500166893005
swin_cifar100_lf_0_05_evade_l1,4,0.9169291219204042,0.23215450884396716,1,0.8428336939355654,0.8007335360075805,0.844851553440094,0.8349968194961548,0.24525000154972076,0.25462499260902405
swin_cifar100_lf_0_1_evade_l1,4,0.968402479469362,0.10107675300063171,1,0.9335495893872394,0.8949560644346178,0.8951358199119568,0.9427669048309326,0.25200000405311584,0.2345000058412552
swin_cifar100_sig_0_01_evade_l1,4,0.63272281269741,0.4223436591914087,1,0.5583826910928615,0.5530289008212255,0.3538850247859955,0.33101704716682434,0.23787499964237213,0.2383749932050705
swin_cifar100_sig_0_05_evade_l1,4,0.6233975047378395,0.3992070277953253,2,0.5454576516108655,0.5020498183828175,0.31433984637260437,0.24232469499111176,0.22075000405311584,0.24062499403953552
swin_cifar100_sig_0_1_evade_l1,4,0.5846039718888187,0.4101476863550221,2,0.48771456885660136,0.469989000315856,0.27416297793388367,0.21996209025382996,0.2618750035762787,0.2644999921321869
swin_cifar100_tact_0_01_evade_l1,4,0.5189389134554643,0.47452073594440936,3,0.4809487365761213,0.48580519583070125,0.23714466392993927,0.22488945722579956,0.2511250078678131,0.2591249942779541
swin_cifar100_tact_0_05_evade_l1,4,0.5208509238787113,0.47047807169930517,3,0.4804550536955149,0.48192593177511056,0.22880606353282928,0.2135186344385147,0.2511250078678131,0.2552500069141388
swin_cifar100_tact_0_1_evade_l1,4,0.5174953332280481,0.48388665508528106,2,0.49355797536323437,0.49554519109286166,0.23815539479255676,0.22147820889949799,0.24112500250339508,0.23149999976158142
swin_cifar100_wanet_0_01_evade_l1,4,0.5152909033480733,0.43532338913455465,3,0.5190278111181301,0.46568327542640553,0.29993683099746704,0.2240050584077835,0.24574999511241913,0.2447499930858612
swin_cifar100_wanet_0_05_evade_l1,4,0.6740453727100444,0.49099493840808595,2,0.6137771478205938,0.6150540982312066,0.3772583603858948,0.35906505584716797,0.26612499356269836,0.2574999928474426
swin_cifar100_wanet_0_1_evade_l1,4,0.8129860549589387,0.10561870656980417,2,0.6270055037902716,0.5023892766898295,0.3120656907558441,0.2246367633342743,0.2529999911785126,0.25062501430511475
swin_tiny_adaptive_blend_0_01_evade_l1,4,0.7052779636260836,0.2972118513632366,1,0.6696104410101772,0.6753300116220631,0.5338610410690308,0.5442894697189331,0.25687500834465027,0.265625
swin_tiny_adaptive_blend_0_05_evade_l1,4,0.95868516773464,0.24902505811031536,1,0.9299798812664907,0.9382840730619425,0.8920718431472778,0.8933283090591431,0.24787500500679016,0.25099998712539673
swin_tiny_adaptive_blend_0_1_evade_l1,4,0.915821240105541,0.1422625015705491,1,0.8892179686518407,0.8929024610503833,0.8737278580665588,0.8611634373664856,0.2631250023841858,0.2711249887943268
swin_tiny_badnet_a2a_0_01_evade_l1,4,0.85398540625,0.46536069531249996,1,0.6956980234375001,0.74977171875,0.4741249978542328,0.5633749961853027,0.24300000071525574,0.23725000023841858
swin_tiny_badnet_a2a_0_05_evade_l1,4,0.7618309218750001,0.4643613828125,1,0.5823648203125,0.5533590546875,0.281374990940094,0.3006249964237213,0.23737500607967377,0.24712499976158142
swin_tiny_badnet_a2a_0_1_evade_l1,4,0.5677050781249999,0.296819125,3,0.43744184375,0.4292533984375,0.18850000202655792,0.1927500069141388,0.26237499713897705,0.273499995470047
swin_tiny_badnet_a2o_0_01_evade_l1,4,0.988711199585375,0.34587832171127025,2,0.9625694182686266,0.8470721039075262,0.9996230602264404,0.8161829113960266,0.24899999797344208,0.26887500286102295
